hotel_id,aspect,trend_direction,trend_slope,flagged_season,deviation_magnitude
H001,amenities,improving,0.01079887573782172,Winter,0.14593487940573127
H001,cleanliness,improving,0.0316887185761371,Winter,0.21339743706993952
H001,location,stable,6.0914960459690696e-18,,0.0
H001,service,stable,-0.0038029146107435617,Summer,0.6775943992866409
H001,value,stable,-5.762799265295844e-18,,0.0
H002,amenities,stable,0.006498240262691461,Summer,0.5028568222645728
H002,location,declining,-0.015378013361608465,Winter,0.20419990034791574
H002,value,stable,-0.005224573733351974,Summer,0.09994520743687951
H003,amenities,stable,-0.0005788226952388595,Autumn,0.2126321533322335
H003,location,improving,0.011581985877455844,Winter,0.3979409621821509
H003,service,declining,-0.013972292619800111,Spring,0.6998032827194406
H004,amenities,stable,0.0028650462638590284,Winter,0.12053247097805375
H004,cleanliness,stable,-0.0007170384297519351,Spring,0.17644880364125837
H004,service,stable,0.004115312038952422,Spring,0.0906516464905115
H005,amenities,declining,-0.015299922868482776,Spring,0.6364633948714644
H005,cleanliness,declining,-0.01551258569983244,Winter,0.30701587652718587
H005,location,stable,0.003941602114760094,Winter,0.2517173112306015
H005,value,stable,1.349550803589537e-17,,0.0
H006,amenities,stable,0.0032348099351373503,Spring,0.12966005390216212
H006,service,stable,0.0016857932855341192,Spring,0.04412619389739403
H007,amenities,improving,0.020493968445113125,Spring,0.37227247878357217
H007,cleanliness,improving,0.016400527764488238,Spring,0.434866325446853
H007,location,improving,0.019487970758398383,Summer,0.7415955488880475
H007,value,stable,-3.595756752355262e-05,Spring,0.00046257071157629337
H008,location,improving,0.01336638073911946,Winter,0.30212647203993326
H008,service,stable,-0.005394382719656034,Autumn,0.520651525519197
H008,value,stable,3.9122978283779083e-17,,0.0
H009,amenities,stable,0.00011069056418129164,Autumn,0.07512644851317696
H009,location,stable,-4.0930303788704075e-18,,0.0
H009,service,stable,-8.368419940557253e-19,,0.0
H009,value,stable,-0.0036160423359261817,Autumn,0.16054321509529423
H010,amenities,declining,-0.01445515636317864,Summer,0.8610816973227042
H010,location,improving,0.016609504623403208,Winter,0.36166590046945707
H010,service,stable,-2.430424764251919e-17,,0.0
H010,value,declining,-0.012855757779100972,Summer,0.6711648279996145
H011,amenities,stable,-0.0019349239792493837,Spring,0.0953895527121814
H011,location,stable,-0.005864251959473106,Spring,0.16211683501224153
H011,service,stable,-2.2812143760199205e-17,,0.0
H011,value,stable,1.5811593906938106e-17,,0.0
H012,amenities,stable,-9.813240738058699e-05,Spring,0.08142522126125162
H012,location,stable,-0.004030896421127305,Winter,0.18802933471101774
H012,service,stable,-0.001773788599026006,Summer,0.012343752004980946
H012,value,improving,0.010496620324576704,Winter,0.1979873134991733
H013,amenities,stable,-0.006184464850645353,Summer,0.6877057422090459
H013,location,improving,0.016841000199308367,Autumn,1.8857732249630823
H013,service,improving,0.0344969765969676,Summer,0.19812661435869006
H013,value,declining,-0.019636695950726927,Autumn,0.3664102153645622
H014,amenities,stable,-0.0034059394537460782,Autumn,0.10136236492268613
H014,location,stable,-2.0297938706193398e-17,,0.0
H014,service,stable,-0.0036682179088975407,Summer,0.030528110038104295
H014,value,stable,-8.915908466066614e-07,Winter,2.4517115227218333e-05
H015,amenities,stable,4.217753028627938e-06,Autumn,0.03991537365934317
H015,location,improving,0.010143204075818238,Autumn,0.1776169312282201
H015,service,stable,0.004279116340335905,Summer,0.07642889500336353
H015,value,stable,1.2828496690519455e-05,Summer,0.0008005220975193517
H016,amenities,improving,0.015506395153938243,Spring,0.6645483105129035
H016,cleanliness,stable,5.200278947328721e-18,,0.0
H016,location,stable,-0.0018096154805608419,Winter,0.4648276446594133
H016,service,improving,0.06820706587828948,Summer,0.805422914524873
H016,value,stable,0.00700482351685536,Autumn,0.4080143942877098
H017,amenities,stable,-2.1027775467423813e-07,Winter,1.1501047346151871e-05
H017,location,stable,1.1433669759906089e-05,Winter,0.0003346063196658644
H017,service,stable,-0.00012590577331721015,Summer,0.9384517966045272
H018,amenities,stable,-0.0053401991541092275,Winter,0.17545752882957455
H018,cleanliness,stable,-1.0437672288656469e-17,,0.0
H018,location,declining,-0.0143492454857465,Winter,0.1758777880558261
H018,service,stable,-4.924015689632442e-20,,0.0
H018,value,stable,0.009305877479610201,Spring,0.7384575055705177
H019,amenities,stable,-0.0021895510605820312,Summer,0.2549647019338356
